 massa A  
t x y 
0.000 -1.150 -0.378
0.033 -1.172 -0.358
0.067 -1.199 -0.325
0.100 -1.231 -0.283
0.133 -1.262 -0.237
0.167 -1.297 -0.201
0.200 -1.338 -0.175
0.233 -1.365 -0.158
0.267 -1.391 -0.150
0.300 -1.413 -0.148
0.333 -1.435 -0.156
0.367 -1.460 -0.171
0.400 -1.485 -0.198
0.433 -1.510 -0.237
0.467 -1.534 -0.284
0.500 -1.552 -0.334
0.533 -1.559 -0.360
0.567 -1.579 -0.375
0.600 -1.598 -0.380
0.633 -1.609 -0.382
0.667 -1.622 -0.378
0.700 -1.631 -0.368
0.733 -1.640 -0.356
0.767 -1.648 -0.340
0.800 -1.657 -0.322
0.833 -1.668 -0.304
0.867 -1.678 -0.288
0.900 -1.677 -0.287
0.933 -1.680 -0.284
0.967 -1.688 -0.274
1.000 -1.696 -0.266
1.033 -1.705 -0.260
1.067 -1.712 -0.256
1.100 -1.719 -0.254
1.133 -1.725 -0.255
1.167 -1.730 -0.256
1.200 0.281 1.172
